0,Ranbir Singh Pora,80,21,1
800001,Kupwara (MC),1,1,1
800002,Handwara (MC),2,1,1
800003,Sopore (M Cl + OG),32,8,1
800004,Watra Gam (MC),33,8,1
800005,Pattan (MC),34,8,1
800006,Baramula (M Cl + OG),35,8,1
800007,Uri (MC),37,8,1
800008,Kunzer (MC),39,8,1
800009,Gulmarg (MC),39,8,1
800010,Bandipore (MC),41,9,1
800011,Hajan (MC),42,9,1
800012,Sumbal (MC),42,9,1
800013,Srinagar (M Corp. + OG) (Part),8,2,1
800014,Badami Bagh (CB),43,10,1
800015,Ganderbal (MC),47,11,1
800016,Magam (MC),5,2,1
800017,Beerwah (MC),5,2,1
800018,Khansahib (MC),6,2,1
800019,Badgam (MC),7,2,1
800020,Chadura (MC),8,2,1
800021,Charar-i-Sharief (MC),9,2,1
800022,Pampora (MC),48,12,1
800023,Khrew (MC),48,12,1
800024,Awantipora (MC),49,12,1
800025,Tral (MC),50,12,1
800026,Pulwama (MC),51,12,1
800027,Shupiyan (MC),52,13,1
800028,Pahalgam (MC),53,14,1
800029,Aishmuquam (MC),53,14,1
800030,Bijbehara (MC),54,14,1
800031,Arwani (MC),54,14,1
800032,Mattan (MC),55,14,1
800033,Anantnag (M Cl + OG) (Part),55,14,1
800034,Achhabal (MC),55,14,1
800035,Seer Hamdan (MC),55,14,1
800036,Shangus (MC),56,14,1
800037,Koker Nag (MC),57,14,1
800038,Qazi Gund (MC),58,14,1
800039,Duru Verinag (MC),58,14,1
800040,Kulgam (MC),59,15,1
800041,Quimoh (MC),59,15,1
800042,Frisal (MC),59,15,1
800043,Yari Pora (MC),59,15,1
800044,Ashmuji Khalsa (MC),59,15,1
800045,Mehmood Pora (MC),59,15,1
800046,Devsar (MC),60,15,1
800047,Leh Ladakh (MC),10,3,1
800048,Kargil (MC),13,4,1
800049,Doda (MC),62,16,1
800050,Bhaderwah (MC),65,16,1
800051,Banihal (MC),66,17,1
800052,Ramban (MC),67,17,1
800053,Batote (MC),67,17,1
800054,Kishtwar (MC),68,18,1
800055,Udhampur (M Cl + OG),72,19,1
800056,Kud (MC),73,19,1
800057,Chenani (MC),73,19,1
800058,Ram Nagar (MC),74,19,1
800059,Reasi (MC),77,20,1
800060,Purana Daroorh (MC),77,20,1
800061,Katra (MC),77,20,1
800062,Punch (M Cl),16,5,1
800063,Surankote (MC),19,5,1
800064,Thanamandi (MC),20,6,1
800065,Rajauri (MC),22,6,1
800066,Nowshehra (MC),25,6,1
800067,Sunderbani (MC),26,6,1
800068,Jourian (MC),78,21,1
800069,Akhnoor (MC),78,21,1
800070,Khore (MC),78,21,1
800071,Jammu (M Corp. + OG),79,21,1
800072,Jammu Cantt. (CB),79,21,1
800073,Ghomanhasan (MC),79,21,1
800074,R.S. Pora (MC),80,21,1
800075,Bishna (MC),81,21,1
800076,Arnia (MC),81,21,1
800077,Bari Brahamana (MC),82,22,1
800078,Vijay Pur (MC),82,22,1
800079,Samba (MC),82,22,1
800080,Ramgarh (MC),82,22,1
800081,Billawar (MC),27,7,1
800082,Bashohli (MC),28,7,1
800083,Lakhanpur (MC),30,7,1
800084,Kathua (M Cl + OG),30,7,1
800085,Parole (MC),30,7,1
800086,Hiranagar (MC),31,7,1
800087,Dalhousie (CB),87,23,2
800088,Dalhousie (M Cl),87,23,2
800089,Bakloh (CB),88,23,2
800090,Chuari Khas (NP),88,23,2
800091,Chamba (M Cl),90,23,2
800092,Nurpur (M Cl),93,24,2
800093,Dharmsala (M Cl + OG),99,24,2
800094,Yol (CB),99,24,2
800095,Kangra (M Cl),100,24,2
800096,Nagrota Bagwan (M Cl),101,24,2
800097,Dera Gopipur (NP),103,24,2
800098,Jawalamukhi (NP),104,24,2
800099,Palampur (M Cl),111,24,2
800100,Manali (M Cl),117,26,2
800101,Kullu (M Cl),118,26,2
800102,Bhuntar (NP),118,26,2
800103,Banjar (NP),120,26,2
800104,Jogindarnagar (NP),124,27,2
800105,Sarkaghat (NP),129,27,2
800106,Sundarnagar (M Cl),132,27,2
800107,Mandi (M Cl),133,27,2
800108,Rawalsar (NP),133,27,2
800109,Tira Sujanpur (NP),140,28,2
800110,Nadaun (NP),141,28,2
800111,Hamirpur (M Cl),143,28,2
800112,Bhota (NP),144,28,2
800113,Daulatpur (NP),148,29,2
800114,Gagret (NP),148,29,2
800115,Una (M Cl),150,29,2
800116,Mehatpur Basdehra (NP),150,29,2
800117,Santokhgarh (NP),150,29,2
800118,Ghumarwin (M Cl),152,30,2
800119,Talai (NP),154,30,2
800120,Naina Devi (M Cl),155,30,2
800121,Bilaspur (M Cl),156,30,2
800122,Arki (NP),158,31,2
800123,Nalagarh (M Cl),161,31,2
800124,Baddi (M Cl + OG),162,31,2
800125,Kasauli (CB),164,31,2
800126,Parwanoo (M Cl),164,31,2
800127,Dagshai (CB),165,31,2
800128,Solan (M Cl),165,31,2
800129,Sabathu (CB),165,31,2
800130,Rajgarh (NP),167,32,2
800131,Nahan (M Cl),172,32,2
800132,Paonta Sahib (M Cl),173,32,2
800133,Rampur (M Cl),177,33,2
800134,Narkanda (NP),179,33,2
800135,Seoni (NP),180,33,2
800136,Jutogh (CB),181,33,2
800137,Shimla (M Corp.),182,33,2
800138,Theog (M Cl),184,33,2
800139,Chaupal (NP) ,185,33,2
800140,Jubbal (NP),188,33,2
800141,Kotkhai (NP),189,33,2
800142,Rohru (M Cl),191,33,2
800275,Cheema (NP),272,53,3
800276,Sunam Udham Singh Wala (M Cl + OG),272,53,3
800277,Dirba (NP),272,53,3
800278,Lehragaga (M Cl),273,53,3
800279,Moonak (NP),274,53,3
800280,Khanauri (NP),274,53,3
800281,Barnala (M Cl),275,54,3
800282,Handiaya (NP),275,54,3
800283,Dhanaula (M Cl),275,54,3
800284,Tapa (M Cl),276,54,3
800285,Bhadaur (M Cl),276,54,3
800286,Chandigarh (M Corp. + OG) ,277,55,4
800348,Gadarpur (NPP),350,67,5
800349,Dineshpur (NP),350,67,5
800350,Shaktigarh (NP),351,67,5
800351,Sitarganj (NPP),351,67,5
800352,Khatima (NPP),352,67,5
800353,Roorkee (NPP),353,68,5
800354,Roorkee (CB),353,68,5
800355,Jhabrera (NP),353,68,5
800356,Manglaur (NPP),353,68,5
800357,Landhaura (NP),353,68,5
800358,Bharat Heavy Electricals Limited Ranipur (ITS),354,68,5
800359,Hardwar (NPP + OG),354,68,5
800360,Laksar (NP),355,68,5
800361,Kalka (MC + OG),356,69,6
800362,Pinjore (MC),356,69,6
800363,Panchkula (M Cl),357,69,6
800364,Naraingarh (MC),358,70,6
800365,Ambala (M Cl),359,70,6
800366,Ambala Cantt. (CB),359,70,6
