subDistrictCode,subDistrictName,districtCode,stateCode
1,Kupwara,1,1
2,Handwara,1,1
3,Karnah,1,1
4,Khag,2,1
5,Beerwah,2,1
6,Khansahib,2,1
7,Budgam,2,1
8,Chadoora,2,1
9,Charar- E- Shrief,2,1
10,Leh,3,1
11,Nubra,3,1
12,Khalsi,3,1
13,Kargil,4,1
14,Sanku,4,1
15,Zanskar,4,1
16,Haveli,5,1
17,Mandi,5,1
18,Mendhar,5,1
19,Surankote,5,1
20,Thanamandi,6,1
21,Darhal,6,1
22,Rajauri,6,1
23,Budhal,6,1
24,Kalakote,6,1
25,Nowshehra,6,1
26,Sunderbani,6,1
27,Billawar,7,1
28,Bashohli,7,1
29,Bani,7,1
30,Kathua,7,1
31,Hiranagar,7,1
32,Sopore,8,1
33,Rafiabad,8,1
34,Pattan,8,1
35,Baramulla,8,1
36,Kreeri,8,1
37,Uri,8,1
38,Boniyar,8,1
39,Tangmarg ,8,1
40,Gurez,9,1
41,Bandipora,9,1
42,Sonawari,9,1
43,Srinagar (North),10,1
44,Srinagar (South),10,1
45,Lar,11,1
46,Kangan,11,1
47,Ganderbal,11,1
48,Pampore,12,1
49,Awantipora,12,1
50,Tral,12,1
51,Pulwama,12,1
52,Shopian,13,1
53,Pahalgam,14,1
54,Bijbehara,14,1
55,Anantnag,14,1
56,Shangus,14,1
57,Kokernag,14,1
58,Dooru,14,1
59,Kulgam,15,1
60, Devsar,15,1
61,Damhal Hanjipora,15,1
62,Doda,16,1
63,Thathri,16,1
64,Gandoh,16,1
65,Bhaderwah,16,1
66,Banihal,17,1
67,Ramban,17,1
68,Kishtwar,18,1
69,Marwah,18,1
70,Chhatroo,18,1
71,Atholi (Paddar),18,1
72,Udhampur,19,1
73,Chenani,19,1
74,Ramnagar,19,1
75,Majalta,19,1
76,Gool-Gulabgarh,20,1
77,Reasi,20,1
78,Akhnoor,21,1
79,Jammu,21,1
80,Ranbir Singh Pora,21,1
81,Bishnah,21,1
82,Samba,22,1
83,Pangi,23,2
84,Chaurah,23,2
85,Saluni,23,2
86,Bhalai,23,2
87,Dalhousie,23,2
88,Bhattiyat,23,2
